  Lamda      L         MW        EW        QLR      POI7      POI17
 35.50  5.537377 38.326325 40.451587 89.722532 62.577481 94.997126 
 36.00  5.526035 38.388684 39.191672 86.972073 64.208083 98.202048 
 36.50  5.978657 42.204539 42.510761 93.802037 66.111540 99.241283 
 37.00  5.697875 39.982877 40.823931 90.096732 68.030788 101.924333 
 37.50  5.995037 42.110396 43.600301 96.055176 68.221747 102.020001 
 38.00  5.993999 42.040275 43.547977 95.743609 69.371713 105.116482 
 38.50  6.378785 45.487962 46.619677 102.017463 70.440004 104.796893 
 39.00  6.464092 45.593207 47.251610 103.696399 73.972141 110.323299 
 39.50  6.539745 46.990525 48.508686 105.780427 75.344366 111.303907 
 40.00  6.528469 46.250721 48.722991 106.389737 76.531282 114.269999 
 40.50  6.755674 48.209586 50.336192 109.306508 75.999776 114.641495 
 41.00  6.648373 47.158792 50.978593 110.880212 78.284947 115.754968 
 41.50  6.995305 50.067175 51.767740 112.284353 77.399645 115.978828 
 42.00  6.985643 50.444731 52.430308 114.104072 79.542470 118.852976 
 42.50  7.442726 53.591915 55.426773 119.708108 83.852406 123.712617 
 43.00  7.578109 54.857188 57.554484 123.948676 84.698490 125.624070 
 43.50  7.544563 54.768849 57.039788 123.308930 85.807408 127.060586 
 44.00  7.552458 54.916247 57.401809 124.036324 88.374916 130.615530 
 44.50  7.549546 54.941262 58.381174 125.374749 89.684196 130.945778 
 45.00  7.862095 57.594901 60.368761 129.844830 89.528253 132.745803 
 45.50  7.850709 56.947109 60.397550 130.075349 90.583821 133.217267 
 46.00  8.040612 59.313758 61.619314 132.613588 89.178865 134.199518 
 46.50  8.478161 62.253052 65.095951 139.496682 89.423574 133.990420 
 47.00  8.060694 59.588034 62.986295 135.298461 93.905510 139.151726 
 47.50  8.530972 64.052753 67.617955 144.671100 95.501767 141.088867 
 48.00  8.231270 60.572421 65.145061 139.203768 96.900319 142.984420 
 48.50  8.842370 65.565977 68.823992 147.172294 95.878246 142.835039 
 49.00  9.017774 67.797379 70.621508 150.421118 97.511822 145.231511 
 49.50  9.214666 69.610625 72.166200 153.297169 100.223942 147.867474 
 50.00  8.816276 65.927227 70.454350 150.471650 99.874078 148.066795 
 50.50  8.940819 66.705572 70.826568 151.280836 101.326998 150.128266 
 51.00  8.982343 67.022884 73.038072 155.682308 104.789191 155.669462 
 51.50  9.261111 70.076867 75.661050 160.882285 107.463848 157.049901 
 52.00  9.488455 71.567515 77.108900 163.655745 103.620717 154.492965 
 52.50  9.253300 70.127950 76.384693 162.051674 108.132271 158.996209 
 53.00  9.411010 71.292231 77.053016 163.937552 111.641914 163.994637 
 53.50  9.619637 73.428580 80.946528 171.611553 108.848007 160.779456 
 54.00  9.766613 74.782533 80.840303 171.625542 111.638631 165.246251 
 54.50  9.558198 73.629163 79.025850 167.388003 110.527575 164.529327 
 55.00 10.057783 76.860286 84.941355 179.484913 115.578878 168.213498 
 55.50 10.029510 77.259167 83.881613 177.658574 116.594769 170.581683 
 56.00 10.282653 79.750451 84.961231 179.794005 114.755960 169.646849 
 56.50 10.569577 81.933442 87.413197 183.831840 116.046567 171.743774 
 57.00 10.735960 84.304086 92.470789 194.789603 118.778616 173.501324 
 57.50 10.550085 82.683952 90.596677 190.947501 118.232819 174.579477 
 58.00 10.811472 84.464359 93.887050 197.431540 118.445191 175.372368 
 58.50 10.613110 83.014446 90.571358 191.036821 122.280061 178.303861 
 59.00 10.734787 83.597115 92.275614 194.239381 122.472617 179.963480 
 59.50 11.349019 89.755985 96.694221 203.249434 126.505151 183.612372 
 60.00 10.988357 87.360278 97.284497 204.510442 124.423734 184.812139 
 61.00 11.241703 88.626168 96.153154 201.832566 127.518336 186.578086 
 62.00 11.266594 89.926240 97.288245 204.495606 129.643250 190.456944 
 63.00 11.788702 93.986442 103.083900 215.743043 130.611767 193.137013 
 64.00 11.858369 94.822111 106.183450 222.601383 131.969126 193.437706 
 65.00 12.359912 99.959515 109.235115 228.451843 134.627483 197.857715 
 66.00 11.970527 96.564093 108.737085 227.337730 134.967597 200.522534 
 67.00 12.136787 98.177512 108.781939 227.735606 136.592521 201.237092 
 68.00 12.590056 103.751516 114.822934 239.462040 144.084326 211.303334 
 69.00 12.630276 103.189406 117.147269 244.474369 146.292220 213.221580 
 70.00 12.568246 103.376835 117.519060 245.212159 147.687616 215.453928 
 71.00 13.173934 109.907386 122.563299 255.591536 147.128206 215.490858 
 72.00 13.232142 109.279654 126.053165 261.338778 150.883802 220.208424 
 73.00 13.772832 116.116548 130.950375 272.420595 151.335784 220.907039 
 74.00 13.609431 115.311648 130.476508 271.269554 152.949478 222.110623 
 75.00 13.727138 115.757186 130.993472 272.038546 154.292851 226.045367 
 76.00 14.341038 119.802206 134.401320 278.918898 151.181104 222.919712 
 77.00 14.886908 128.517162 143.765860 297.645269 157.082194 231.014245 
 78.00 14.698670 125.465103 144.321716 298.774907 158.626831 234.012620 
 79.00 15.005450 130.013492 147.520978 305.792365 161.946922 236.790758 
 80.00 14.386606 122.980417 140.252283 291.066433 166.997217 242.156039 
